,Year,Country,Area,Day Time,Fatal,Type
0,2018,USA,California,Evening,N,
1,2018,USA,Georgia,,N,Unprovoked
2,2018,USA,Hawaii,Morning,N,
3,2018,AUSTRALIA,New South Wales,,N,Unprovoked
4,2018,MEXICO,Colima,,N,Provoked
5,2018,AUSTRALIA,New South Wales,,N,Unprovoked
6,2018,BRAZIL,Pernambuco,Afternoon,Y,Unprovoked
7,2018,USA,Florida,,N,Unprovoked
8,2018,USA,Florida,Afternoon,N,Unprovoked
9,2018,USA,Florida,Afternoon,N,Unprovoked
10,2018,AUSTRALIA,Queensland,Morning,N,Provoked
11,2018,USA,South Carolina,,N,Unprovoked
12,2018,USA,South Carolina,Afternoon,N,Unprovoked
13,2018,ENGLAND,Cornwall,Morning,N,
14,2018,AUSTRALIA,Westerm Australia,,N,Provoked
15,2018,SOUTH AFRICA,Eastern Cape Province,Morning,N,Unprovoked
16,2018,AUSTRALIA,New South Wales,Morning,N,
17,2018,THAILAND,Hua Hin,,N,Unprovoked
18,2018,COSTA RICA,Cocos Island,Morning,N,Unprovoked
19,2018,AUSTRALIA,Western Australia,Afternoon,N,Unprovoked
20,2018,AUSTRALIA,New South Wales,Morning,N,
21,2018,AUSTRALIA,Western Australia,Morning,N,Unprovoked
22,2018,AUSTRALIA,Western Australia,Afternoon,N,Unprovoked
23,2018,MALDIVES,Alifu Alifu Atoll,Evening,N,Unprovoked
24,2018,SOUTH AFRICA,Western Cape Province,Morning,N,Unprovoked
25,2018,USA,Hawaii,,N,Unprovoked
26,2018,THAILAND,Hua Hin,,N,Unprovoked
27,2018,BRAZIL,Pernambuco,,Unknown,Unprovoked
28,2018,AUSTRALIA,Western Australia,,N,Unprovoked
29,2018,AUSTRALIA,Western Australia,Morning,N,Unprovoked
30,2018,BAHAMAS,New Providence,Morning,N,Unprovoked
31,2018,BRAZIL,Alagoas,,N,
32,2018,NEW CALEDONIA,,Afternoon,N,Unprovoked
33,2018,BAHAMAS,,Evening,N,Unprovoked
34,2018,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Unprovoked
35,2018,USA,Hawaii,Morning,N,Unprovoked
36,2018,AUSTRALIA,Western Australia,Afternoon,N,Unprovoked
37,2018,AUSTRALIA,Victoria,Afternoon,N,Unprovoked
38,2018,AUSTRALIA,Victoria,Morning,N,Unprovoked
39,2018,SOUTH AFRICA,KwaZulu-Natal,,N,Unprovoked
40,2018,AUSTRALIA,New South Wales,,N,Unprovoked
41,2018,AUSTRALIA,Victoria,Night,N,Provoked
42,2018,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
43,2018,AUSTRALIA,Queensland,Evening,N,
44,2018,BRAZIL,"Boi Island, Victoria",,N,
45,2018,ECUADOR,Galapagos Islands,,N,Unprovoked
46,2018,AUSTRALIA,Western Australia,,N,
47,2018,AUSTRALIA,Western Australia,Morning,N,Unprovoked
48,2018,NEW CALEDONIA,,Afternoon,N,Unprovoked
